gene,a375_lfq_average,a375_log_lfq,fm55_lfq,fm55_log_lfq,citation,citation_source
ANXA2;ANXA2P2,6704783.333333333,5.276668561845278,5054783.333333333,4.777819370878734,PMC9854651,pmcid
ANXA4,327910.0,4.817530113376302,306308.3333333333,6.074132290367719,PMC9854651,pmcid
ANXA5,3887800.0,6.074864571064583,3024250.0,5.8904424442120975,PMC9854651,pmcid
ANXA6,726363.3333333334,5.89161828801898,521401.6666666667,4.717741215695277,PMC9854651,pmcid
ANXA7,258770.0,4.865592503245905,213170.0,4.784202292076459,PMC9854651,pmcid
AP1B1,222053.0,4.7969684419243706,232961.66666666666,4.958175918615928,PMC9854651,pmcid
AP1G1,191915.0,5.1895137075145525,172411.66666666666,5.581909854750797,PMC9854651,pmcid
AP1M1,324745.0,5.682847264891549,337871.6666666667,4.90015493717512,PMC9854651,pmcid
AP1S1,176188.33333333334,4.9482458345833376,161281.66666666666,5.026759953645308,PMC9854651,pmcid
AP1S2,86784.16666666667,5.1576350431215605,118104.5,5.156584483011397,PMC9854651,pmcid
AP2A1,188328.33333333334,5.079809914621321,181841.66666666666,5.140691317275915,PMC9854651,pmcid
AP2A2,89973.5,5.1363124979600485,100111.83333333333,3.2050779922234645,PMC9854651,pmcid
AP2B1,350435.0,4.070087145455181,321818.3333333333,5.324169235818188,PMC9854651,pmcid
AP2M1,151201.66666666666,5.396277826958957,151950.0,5.6282782134237745,PMC9854651,pmcid
AP2S1,94970.83333333333,5.65786183361255,74956.66666666667,6.051654084113286,PMC9854651,pmcid
AP3B1,175235.0,5.940371197761945,164446.66666666666,5.052363639707988,PMC9854651,pmcid
AP3D1,194830.0,5.28965583052675,209405.0,5.320987047192322,PMC9854651,pmcid
AP3M1,175241.66666666666,5.24363737495977,188138.33333333334,5.274477292408473,PMC9854651,pmcid
AP3M2,13490.333333333334,5.04735470790919,26109.166666666668,3.631548609386837,PMC9854651,pmcid
AP3S1,231563.33333333334,5.3646697925697255,166673.33333333334,5.2218661210482065,PMC9854651,pmcid
AP4B1,4903.116666666666,3.80179803225528,1869.7833333333335,5.088313315588096,PMC9854651,pmcid
AP4M1,32620.333333333332,5.101179784380764,34217.0,5.024999156008941,PMC9854651,pmcid
AP4S1,17053.5,5.1789913276670685,18139.166666666668,4.485025430204567,PMC9854651,pmcid
AP5Z1,35098.0,4.187873089603788,30998.833333333332,5.78457569155215,PMC9854651,pmcid
APAF1,19255.899999999998,5.775947656723944,21242.333333333332,5.582540597156637,PMC9854651,pmcid
APEH,214900.0,5.560307235392915,224923.33333333334,6.8828697113453945,PMC9854651,pmcid
APEX1,507515.0,6.9533126069635465,518783.3333333333,6.30758160475063,PMC9854651,pmcid
API5,321635.0,6.391699451477855,277958.3333333333,4.71459796693727,PMC9854651,pmcid
APIP,120448.33333333333,4.6611514366094395,115231.83333333333,4.827803135324449,PMC9854651,pmcid
APMAP,300976.6666666667,4.730911414674746,329183.3333333333,4.676812452905259,PMC9854651,pmcid
APOA1BP,915961.6666666666,4.690652292689712,844835.0,5.487760371456292,PMC9854651,pmcid
APOBEC3C,128559.83333333333,5.45465941985514,26127.666666666668,4.616918160074341,PMC9854651,pmcid
APOBEC3D,5384.166666666667,4.434358624801537,13152.333333333334,5.066224018850317,PMC9854651,pmcid
APOBEC3F,87160.5,5.122117536313263,44008.666666666664,4.444996700267696,PMC9854651,pmcid
APOBEC3G,149454.5,4.5612425461821,78934.83333333333,5.109156532993127,PMC9854651,pmcid
