gene,gene_id_sysgo,associations_to_disease,cluster_string_no_expansion,process_1,process_2,process_3,main_location,in_a375,expr_a375_lfq,in_fm55,expr_fm55_lfq,citation,citation_source
BLM,BLM,Mixed hypo- & hyperpigmentation disorder,1.0,1_8_4_SUMOylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,,,PMC9854651,pmcid
BLOC1S3,BLOC1S3,Hypopigmentation disorder,4.0,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,,,,,PMC9854651,pmcid
BLOC1S5,BLOC1S5,Hypopigmentation disorder,4.0,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,,,,,PMC9854651,pmcid
BLOC1S6,BLOC1S6,Hypopigmentation disorder,4.0,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,,,,,PMC9854651,pmcid
BNC2,BNC2,Hyperpigmentation disorder,,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
BRAF,BRAF,Hyperpigmentation disorder,2.0,1_26_16_mitogen-activated protein kinase kinase kinase,Protein kinases,Signaling,01_A_Cytosol,,,,,PMC9854651,pmcid
BRCA2,BRCA2,Mixed hypo- & hyperpigmentation disorder,1.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
BRIP1,BRIP1,Mixed hypo- & hyperpigmentation disorder,1.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
BTNL2,BTNL2,Hypopigmentation disorder,7.0,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,04_EXTRACELLULAR,,,,,PMC9854651,pmcid
C11ORF65,C11orf65,Mixed hypo- & hyperpigmentation disorder,,UNKNOWN_Cytosol,Unknown,Unknown,01_A_Cytosol,,,,,PMC9854651,pmcid
C1ORF141,C1orf141,Hypopigmentation disorder,,UNKNOWN_Nucleus,Unknown,Unknown,03_A_Nucleus,,,,,PMC9854651,pmcid
C1QTNF6,C1QTNF6,Hypopigmentation disorder,,3_5_2_Innate Immune System,Innate Immune System,Immune system & Inflammation,04_EXTRACELLULAR,,,,,PMC9854651,pmcid
CASP7,CASP7,Hypopigmentation disorder,25.0,4_2_Programmed Cell Death,Cell death,Signaling,01_A_Cytosol,CASP7,95720.33333333333,CASP7,70894.66666666667,PMC9854651,pmcid
CBFA2T3,CBFA2T3,Hypopigmentation disorder,,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
CBS,CBS,Hypopigmentation disorder,,1_7_Metabolism of amino acids and derivatives,Metabolism of amino acids and derivatives,Metabolism,01_B_1_Mitochondria,CBS,8937.266666666666,CBS,2553.3166666666666,PMC9854651,pmcid
CCR6,CCR6,Hypopigmentation disorder,,3_5_3_Cytokine Signaling in Immune system,GPCR signaling,Signaling,02_B_Cell membrane,,,,,PMC9854651,pmcid
CD80,CD80,Hypopigmentation disorder,6.0,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,,,,,PMC9854651,pmcid
CDH23,CDH23,Hypopigmentation disorder,,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,,,,,PMC9854651,pmcid
CDH3,CDH3,Mixed hypo- & hyperpigmentation disorder,9.0,3_4_Cell_cell_junctions_adhesion,Cell_cell_junctions_adhesion,Cell junction & adhesion,02_A_Cell-cell-junctions,,,,,PMC9854651,pmcid
CDKN2A,CDKN2A,Hyperpigmentation disorder,39.0,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,,,,,PMC9854651,pmcid
CEP57,CEP57,Hypopigmentation disorder,,1_15_4_Tubulin,Cytoskeleton,Cytoskeleton,01_D_3d_Centrosome,,,,,PMC9854651,pmcid
CHRNA9,CHRNA9,Hypopigmentation disorder,,3_3_Neuronal System_synapses_channels,Neuronal System_synapses_channels,Neuronal System_synapses_channels,02_B_Cell membrane,,,,,PMC9854651,pmcid
CLNK,CLNK,Hypopigmentation disorder,,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,01_C_6_Vesicles,,,,,PMC9854651,pmcid
CPVL,CPVL,Hypopigmentation disorder,,1_8_17_Peptide hormone metabolism,Hormones,Signaling,04_EXTRACELLULAR,,,,,PMC9854651,pmcid
CTC1,CTC1,Hyperpigmentation disorder,3.0,4_1_1_DNA Replication,DNA Replication,DNA Replication,03_C_Nucleoplasm,,,,,PMC9854651,pmcid
CTLA4,CTLA4,Hypopigmentation disorder,38.0,3_5_1_Adaptive Immune System,Adaptive Immune System,Immune system & Inflammation,02_B_Cell membrane,,,,,PMC9854651,pmcid
CTNS,CTNS,Hypopigmentation disorder,,1_14_Lysosomes,Lysosomes,Organelles,01_B_4_Lysosomes,,,,,PMC9854651,pmcid
CYP11A1,CYP11A1,Hyperpigmentation disorder,21.0,1_25_1_Biological oxidations,Metabolism - Other,Metabolism,01_B_1_Mitochondria,,,,,PMC9854651,pmcid
DDB2,DDB2,Mixed hypo- & hyperpigmentation disorder,1.0,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,DDB2,109309.83333333333,DDB2,71791.83333333333,PMC9854651,pmcid
DDX3X,DDX3X,Hypopigmentation disorder,12.0,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,,,PMC9854651,pmcid
