gene,in_raghunath_168,in_darcy_s1_243,in_kegg_hsa04916,in_reactome_curated_union,in_reactome_r_hsa_5662702_precision,n_sets,darcy_phenotype_class,citation,citation_source,in_bajpai2023_crispr_169,bajpai_castle_effect,bajpai_q_value,bajpai_direction,bajpai_orphan_hit,n_sets_incl_bajpai
WNT16,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT2,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT2B,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT3,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT3A,False,False,True,True,False,2,,KEGG:hsa04916|Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,2
WNT4,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT5A,True,False,True,False,False,2,,gene_network_nodes.csv (per-gene UniProt/Entrez accession; Raghunath et al. 2015 BMC Res Notes)|KEGG:hsa04916,accession_or_pmcid,False,,,,False,2
WNT5B,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT6,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT7A,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT7B,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT8A,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT8B,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT9A,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WNT9B,False,False,True,False,False,1,,KEGG:hsa04916,accession_or_pmcid,False,,,,False,1
WRAP53,False,True,False,False,False,1,Hyperpigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
WRN,False,True,False,False,False,1,Mixed,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
XPA,False,True,False,False,False,1,Mixed,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
XPC,False,True,False,False,False,1,Mixed,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
XPO1,False,False,False,True,False,1,,Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,1
YWHAB,False,False,False,True,False,1,,Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,1
YWHAE,False,False,False,True,False,1,,Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,1
YWHAG,False,False,False,True,False,1,,Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,1
YWHAH,False,False,False,True,False,1,,Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,1
YWHAZ,False,False,False,True,False,1,,Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,1
ZC3H7B,False,True,False,False,False,1,Hypopigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
ZEB1,False,False,False,True,False,1,,Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,1
ZIC1,False,False,False,True,False,1,,Reactome:R-HSA-9730414,accession_or_pmcid,False,,,,False,1
ZMIZ1,False,True,False,False,False,1,Hypopigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
